,pk,company_name,litigation_reason,litigation_reason_reference,claim_category,claim_category_reference,source_of_pfas,source_of_pfas_reference,settlement_finalized,settlement_currency,settlement_amount,settlement_paid_date,settlement_reference,0
11,als_69105_20250317172040,Tyco Fire Products,Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""thousands of PFAS water contamination lawsuits have been filed against the chemical manufacturers, including 3M, DuPont, Chemguard, Inc., Tyco Fire Products and other producers of PFAS chemicals""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The provided text does not mention any settlement details for Tyco Fire Products related to PFAS. It only discusses the lawsuit against Apple Inc. regarding PFAS in Apple Watch bands and mentions that thousands of PFAS water contamination lawsuits have been filed against various chemical manufacturers, including Tyco Fire Products. However, there is no specific information about a settlement amount, currency, or paid date for Tyco Fire Products.",
12,als_67268_20250219165248,W.L. Gore & Associates,Falsely Advertised,"Article: ""A new lawsuit alleges that the manufacturer of Gore-Tex fabric falsely promotes its product as environmentally friendly, despite its waterproof outer layer containing toxic per- and polyfluoroalkyl substances (PFAS).""",Environmental Liability,Inferred: No explanation available,Products,Inferred: No explanation available,False,,,,"Inferred: The text provided does not mention any settlement being finalized or any specific settlement amount, currency, or paid date related to W.L. Gore & Associates and PFAS. The text only discusses the allegations and the lawsuits filed against the company, but there is no information about any settlements.",
14,als_67026_20250214162833,Hawaiian Electric,Environmental Pollution,"Article: ""Maui wildfire lawsuits, indicating that Hawaiian Electric kept power running through its lines, even after some of the company’s poles had fallen and were likely to catch fire.""",Environmental Liability,"Article: ""families eventually pursued Maui wildfire lawsuits, indicating that Hawaiian Electric kept power running through its lines, even after some of the company’s poles had fallen and were likely to catch fire.""",AFFF runoff,"Article: ""Most of the PFAS health concerns have stemmed from water contamination in areas surrounding military bases, where the U.S. Navy and other branches frequently used aqueous film-forming foam (AFFF) in firefighting and training exercises.""",False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to Hawaiian Electric and PFAS. It primarily discusses the health risks and lawsuits related to PFAS contamination among firefighters and the wildfires in Maui and Los Angeles. There is no information provided about a settlement being finalized or any specific details about a settlement amount.",
14,als_67026_20250214162833,SoCal Edison,,"Inferred: The text does not provide specific information about SoCal Edison facing lawsuits or settlements related to PFAS. The focus is on the wildfires allegedly caused by SoCal Edison’s equipment and the resulting damages, not on PFAS-related issues.",Environmental Liability,Inferred: No explanation available,Operations,"Article: ""SoCal Edison’s equipment caused at least one wildfire""",False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to SoCal Edison and PFAS. It only discusses the lawsuits being filed and the ongoing pursuit of compensation for damages caused by the wildfires. There is no indication that a settlement has been finalized or any specific details about a settlement amount.",
16,als_66884_20250211170152,3M Company,"Environmental Pollution, Bodily Injury (Individuals alleging health affects), Occupational Exposure","Article: ""chemical manufacturers like 3M Company, DuPont and BASF face thousands of PFAS water contamination lawsuits filed by water providers and individuals diagnosed with various types of cancer, as well as firefighter PFAS injury lawsuits brought by individuals who came into direct contact with the chemicals.""",Environmental Liability,"Article: ""chemical manufacturers like 3M Company, DuPont and BASF face thousands of PFAS water contamination lawsuits filed by water providers and individuals diagnosed with various types of cancer""",AFFF runoff,"Article: ""chemical manufacturers like 3M Company, DuPont and BASF face thousands of PFAS water contamination lawsuits filed by water providers and individuals diagnosed with various types of cancer, as well as firefighter PFAS injury lawsuits brought by individuals who came into direct contact with the chemicals.""",False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to 3M Company and PFAS. It only discusses ongoing litigation and the preparation of early PFAS contamination lawsuits for trial dates later this year. Therefore, it can be inferred that no settlement has been finalized or mentioned in the provided text.",
16,als_66884_20250211170152,DuPont,Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""chemical manufacturers like 3M Company, DuPont and BASF face thousands of PFAS water contamination lawsuits filed by water providers and individuals diagnosed with various types of cancer""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to DuPont and PFAS. It only discusses ongoing litigation and the preparation of early trial dates for PFAS contamination lawsuits. Therefore, no settlement information can be extracted.",
16,als_66884_20250211170152,BASF,Environmental Pollution,"Article: ""BASF face thousands of PFAS water contamination lawsuits filed by water providers and individuals diagnosed with various types of cancer""",Environmental Liability,"Article: ""chemical manufacturers like 3M Company, DuPont and BASF face thousands of PFAS water contamination lawsuits filed by water providers and individuals diagnosed with various types of cancer""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to BASF and PFAS. It only discusses ongoing litigation and the preparation of early trial dates for PFAS contamination lawsuits. Therefore, there is no information available to determine if a settlement has been finalized or any details about a settlement amount.",
17,als_66255_20250120202936,3M Company,"['Environmental Pollution', 'Failing to Warn', 'Falsely Advertised', 'Bodily Injury (Individuals alleging health affects)', 'Occupational Exposure']",Inferred: No explanation available,Environmental Liability,Inferred: No explanation available,AFFF runoff,"Article: ""high volumes of the chemicals are contained in aqueous film-forming foam (AFFF), which firefighters have released into the environment while combating fuel-based fires""",True,USD,12500000000.00,,"Article: ""Last year, a federal judge granted final approval for a PFAS settlement agreement of up to $12.5 billion between 3M and a number of water providers nationwide""",
17,als_66255_20250120202936,DuPont,Environmental Pollution,"Article: ""{'litigation_reason_reference': 'thousands of water contamination lawsuits have been filed against 3M Company, DuPont, Chemguard Inc., Tyco Fire Products and other companies'}""",Environmental Liability,"Article: ""thousands of water contamination lawsuits have been filed against 3M Company, DuPont, Chemguard Inc., Tyco Fire Products and other companies""",Products,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to DuPont for PFAS. The article primarily discusses settlements involving 3M and other companies, but does not provide details about a finalized settlement for DuPont.",
17,als_66255_20250120202936,Chemguard Inc.,Environmental Pollution,"Article: ""thousands of water contamination lawsuits have been filed against 3M Company, DuPont, Chemguard Inc., Tyco Fire Products and other companies""",Environmental Liability,"Article: ""thousands of water contamination lawsuits have been filed against 3M Company, DuPont, Chemguard Inc., Tyco Fire Products and other companies""",AFFF runoff,"Article: ""thousands of water contamination lawsuits have been filed against 3M Company, DuPont, Chemguard Inc., Tyco Fire Products and other companies, including personal injury claims brought by individuals diagnosed with cancer after drinking contaminated water, as well as firefighter cancer lawsuits brought by individuals directly exposed during training and response exercises.""",False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to Chemguard Inc. The article primarily discusses settlements involving 3M and other companies, but does not provide details about Chemguard Inc.'s settlement status or amounts.",
17,als_66255_20250120202936,Tyco Fire Products,Environmental Pollution,"Article: ""thousands of water contamination lawsuits have been filed against 3M Company, DuPont, Chemguard Inc., Tyco Fire Products and other companies""",Environmental Liability,"Article: ""thousands of water contamination lawsuits have been filed against 3M Company, DuPont, Chemguard Inc., Tyco Fire Products and other companies""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: {'reason': 'The text does not mention any specific settlement amount, currency, or paid date related to Tyco Fire Products. The only settlements mentioned are related to 3M, including an $890 million settlement with the state of Minnesota and a $12.5 billion settlement with water providers. There is no information provided about a settlement involving Tyco Fire Products.'}",
18,als_66177_20250117180412,3M Company,Environmental Pollution,"Article: ""chemical and safety equipment manufacturers like 3M Company, DuPont and BASF face thousands of PFAS water contamination lawsuits""",Environmental Liability,Inferred: No explanation available,Products,"Article: ""chemical and safety equipment manufacturers like 3M Company""",False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to 3M Company and PFAS. It only discusses the ongoing litigation and the preparation for early trial dates later this year. Therefore, there is no information available to determine if the case has been settled or any details about a settlement amount.",
18,als_66177_20250117180412,DuPont,Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""chemical and safety equipment manufacturers like 3M Company, DuPont and BASF face thousands of PFAS water contamination lawsuits""",Products,"Article: ""chemical and safety equipment manufacturers like 3M Company, DuPont and BASF face thousands of PFAS water contamination lawsuits""",False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to DuPont and PFAS. It only discusses the ongoing litigation and the preparation for trial dates later this year. Therefore, no settlement information can be extracted from the provided text.",
18,als_66177_20250117180412,BASF,Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""chemical and safety equipment manufacturers like 3M Company, DuPont and BASF face thousands of PFAS water contamination lawsuits filed by water providers and individuals diagnosed with various types of cancer""",Products,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to BASF for PFAS contamination. It only mentions that BASF, along with other companies, faces thousands of PFAS water contamination lawsuits. There is no indication that any settlement has been finalized or any specific details about a settlement amount.",
19,als_65924_20250107185449,3M Company,Environmental Pollution,"Article: ""chemical manufacturers like 3M Company, DuPont and BASF face thousands of PFAS water contamination lawsuits""",Environmental Liability,"Article: ""chemical manufacturers like 3M Company, DuPont and BASF face thousands of PFAS water contamination lawsuits""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to 3M Company and PFAS. It only discusses ongoing litigation and the preparation of early trial dates later this year. Therefore, there is no information available to determine if a settlement has been finalized or any details about a settlement amount.",
19,als_65924_20250107185449,DuPont,Environmental Pollution,"Article: ""chemical manufacturers like 3M Company, DuPont and BASF face thousands of PFAS water contamination lawsuits""",Environmental Liability,"Article: ""chemical manufacturers like 3M Company, DuPont and BASF face thousands of PFAS water contamination lawsuits filed by water providers and individuals diagnosed with various types of cancer""",AFFF runoff,"Article: ""chemical manufacturers like 3M Company, DuPont and BASF face thousands of PFAS water contamination lawsuits filed by water providers and individuals diagnosed with various types of cancer, as well as firefighter PFAS injury lawsuits brought by individuals who came into direct contact with the chemicals.""",False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to DuPont and PFAS. It only discusses the ongoing litigation and the preparation for trial dates later this year. Therefore, no specific settlement information can be extracted.",
